1|75,76,84,85|An assistant encounters two histories: access was granted and then revoked, or revoked and then granted. The people, resource and event types are identical, but the correct decision changes when the last operation prevails. A representation containing only the event set cannot support that distinction. Understanding this task requires both information preserving order and a procedure that uses it correctly.
1|49,50,51,53,79,80,81,82,93|Meta-Rational Pragmatics proposes investigating understanding through such executable distinctions. Its central wager is that an agent can diagnose what its current representation cannot distinguish, construct a suitable interpreter, verify the improvement and retain the procedure for reuse. This is an engineering research program. A mathematical limit on lost information does not establish that the proposed architecture outperforms alternatives or explains human cognition.
1|190,192,194,195,196,199,200,201,204,205,206,208|Sufficiency therefore means sufficiency for a declared family of questions or tests. If two equally likely histories receive the same representation but require opposite answers, a predictor restricted to that representation cannot exceed 50% expected accuracy on the pair, even through randomization. A new program may compute the missing distinction from retained history. If that history has been discarded, more computation cannot reliably reconstruct it.
1|101,104,105,108,114,153,155,159|Representations can be understood as partitions: their classes identify differences the system ignores. Refinement separates previously confused cases while preserving earlier distinctions. Yet richer representation can increase cost, and a useful result still needs a valid interpretation contract. An operation returning the last known event cannot silently supply the last event in the world. Proof, testing and assumptions about input completeness remain separate obligations.
2|304,305,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,343|The learning loop begins with diagnosis, not automatic expansion of the library. A wrong answer may reflect a defective implementation, compressed-away information, a missing observation, randomness, changed rules or an ambiguous question. Each calls for a different response. Preserving the incident's actual inputs, interpreter version and observation conditions allows investigation to select a repair, request an experiment or acknowledge a limit.
2|329,330,333,334,335,337,338,339,350,351,352,363|When representation loss is established, the target is a general procedure rather than recognition of one failed example. Grouping events by identity and selecting the last relevant operation may handle an entire family of histories. Contrastive tests vary identities, interleave resources and change irrelevant details. Their transformations must respect the actual protocol. Declared primitives and types constrain program construction but do not guarantee correct intent.
2|214,215,235,238,239,240,242,244,246,247,254,255,260|Dynamic tasks require distinctions about continuations. Inactive and pending access both produce a negative answer now, yet confirmation changes only the pending state. Learned automata make this difference explicit. Probabilistic systems require comparing outcome distributions rather than isolated successes or failures. Real testing does not supply the perfect equivalence oracle of an ideal learning model, and reproducible resets or additional observations may be expensive.
2|266,267,268,271,272,280,281,283,285,296|Related foundations clarify what a refinement can achieve. Separate numerical intervals can lose an equality between variables that a relational abstraction preserves. Conversely, two causal models may agree on passive observations while predicting different intervention effects. A better representation of existing data cannot by itself identify which mechanism is real. Formal soundness, empirical prediction and new experimental information solve different parts of the problem.
3|174,175,176,178,179,180,182,184|An agent must also decide whether further work is worthwhile. Probability describes its estimate, loss specifies the consequences of a choice, and verification describes the support available. Changing an error's cost may change the appropriate decision threshold without changing what is probably true. Proper scoring rules encourage honest probabilistic estimates, but cannot repair unrepresentative evaluation data. Abstention likewise has costs that must be counted.
3|377,378,379,384,386,387,388,390,391|Metareasoning treats computation as an action: its value is the expected improvement in the decision minus its cost. Evaluating each operation alone can miss useful combinations. Learning one of two hidden independent bits does not reveal whether they differ; observing both does. A controller therefore needs some capacity to consider complementary operations, together with budgets and stopping rules that prevent endless reasoning about reasoning.
3|394,395,396,398,399,403,405,412,413,415,416,419,420|Reusable interpreters introduce a longer horizon. Construction, verification, selection, maintenance and invalidation must be amortized over actual uses. Keeping only the final fast execution cost would conceal the investment. Transfer also requires matching rules: selecting the latest event may suit permission changes but not a cumulative bank balance. Learning, retention and transfer need separate evaluation, while legitimate objectives and constraints cannot be settled by optimization alone.
4|426,427,429,432,433,434,436,437,440,441,442|The book's geometry begins with consequences rather than similar wording. Pragmatic distance takes the largest total variation difference between outcome distributions over a chosen test family. It is a pseudometric because distinct histories can remain indistinguishable to those tests. Approximate closeness introduces another difficulty: nearby pairs can form a chain whose endpoints are far apart. Clustering therefore needs an explicit diameter, radius or error guarantee.
4|444,445,446,448,449,461,462,463,464,465,466,467,468|Under bounded utility, predictive distance can control a decision-value error, but a one-step guarantee does not automatically cover long plans. Another derivation compares fixed procedures through expected utility. Their preference regions are convex intersections of linear constraints; using unnormalized nonnegative weights yields cones. The assumptions matter: if procedures change arbitrarily with the belief distribution, the same linear argument no longer follows.
4|473,475,476,478,479,480,482,483,487,488,491,492,493,495,496,503,504|This does not mean all knowledge has a conical shape. Compressing a point to its squared radius simplifies annulus membership by losing direction. Likewise, an atlas of local interpreters can preserve temporal, relational or documentary properties through different views and contracted adapters. Neither reversible translations nor a geometric manifold are assumed. Any advantage must survive comparison with a simple table or a sufficiently capable common representation, including reconciliation costs.
5|510,511,512,538,539,542,543,549,550,551,553|A possible execution environment would make tasks, episodes, representations, interpreters, evidence and incidents explicit objects with stable identities. It could begin with ordinary databases and existing executors. Results would carry both content and epistemic status: reported observation, hypothesis, model-relative derivation or empirical evaluation. A content hash can detect an artifact change, but cannot certify truth. Fluent downstream text must preserve the limitations of its premises.
5|559,581,585,586,588,589,590,592,593,594,596,597,598|New candidates pass through proposal, execution, evaluation and consolidation, with suspension or withdrawal available later. Admission to a library is not mathematical proof. Stable execution epochs keep an answer from mixing interpreter versions; dependency records identify which conclusions need reconsideration after changes. Transactions help maintain consistency but cannot undo arbitrary external effects. Sandboxing limits damage from a faulty program without establishing that its answer is correct.
5|605,606,608,609,610,613,616,617,620,621,624,625,626|Circuit graphs and SOP Lang are possible ways to represent compositions, not premises on which the research hypothesis depends. Language models may propose programs, tests or interpretations, but their roles must remain visible. When one model supplies both a candidate and every check, shared errors can survive. Independent constraints are needed. Controlled-language equivalence can be required for a restricted fragment without promising exact interpretation of all natural language.
6|631,632,635,636,637,638,640,641,642,645,646,650,651,654|Bounded software and protocol verification offer a plausible first application because execution and target properties can be controlled. The agent could learn when an interval analysis needs a relation, which state distinction a reservation protocol requires, or which conclusions an API change invalidates. Selecting existing analyses and inducing new ones are separate achievements. Initial assistance can remain advisory while the contribution of learning is evaluated.
6|658,659,662,663,664,667,668,669,671,672,673,675,676,677,679,680|Documents expose another family of losses. A summary may preserve an approval threshold yet omit an exception for a critical resource, or turn an attributed hypothesis into an asserted fact. Interpreters could preserve conditions, precedence, modality and source passages. But correct computation over incorrectly extracted rules remains unfaithful to the document. Extraction and reasoning need separate checks, with authentic documents assessed beyond synthetic examples and specialist oversight where consequences require it.
6|685,687,689,690,693,694,695,698,702,705,707,711,713,715,719,720,724,725,728,731,732|Research applications would distinguish generating hypotheses, selecting discriminating experiments and evaluating results; internal surprise is no evidence of scientific novelty. Educational applications might diagnose implication confused with its converse, but should measure retention, transfer and autonomy rather than immediate compliance. Interactive agents may need a new observation to distinguish hidden device states. In every case, technical competence remains bounded by the task and does not settle its human significance.
7|737,738,762,764,765,766,768,769,772,773,774,776,778,794,796,797|The decisive experiment compares complete systems under comparable information, tools and budgets: a capable single model, a fixed library with selection, independent program generation and the adaptive system. Structural holdouts must contain genuinely unseen rule combinations, not renamed copies. Ablations test whether diagnosis, consolidation or learned selection contributes anything. Costs, failed attempts and variation across tasks belong in the record, with success criteria fixed before the decisive evaluation.
7|852,861,863,864,866,867,874,876,877,878,880,881,882|The elementary proofs and worked exercises reinforce these limits. Refinement cannot worsen the optimal cost-free predictor because it can ignore new information, yet a real learner may overfit or become expensive. Separating every finite example may simply memorize it. Similarly, observing no errors in a finite independent test does not establish a zero error rate; adaptively selecting candidates on those same tests changes the statistical problem again.
7|801,802,803,805,806,809,810,832,834,835,838,839,842,843,844,846,847,848|The strongest defensible contribution is the traceable transition from a diagnosed insufficiency to a constructed distinction, checked and reused under known conditions. Its components have substantial precedents, and the architecture's precise novelty and advantage remain to be demonstrated. A simpler model may win. The productive question is which relevant difference the agent cannot yet compute, what would make it available, and what evidence justifies keeping the resulting procedure.
1|87,89,90,91,94,105,108,114,117,196,208,210|This framing also separates possessing information from making it usable. A raw archive may retain every needed event while requiring an impractically slow search for each answer. A specialized interpreter can improve access without adding empirical information. Conversely, a compact representation can be fast but insufficient. There need not be one ordering from worse to better representations: one preserves chronology, another preserves attribution, and their value depends on the question. The appropriate target is competence under declared constraints, rather than compression or complexity alone.
2|356,358,360,361,365,367,368,369,371,372,373|Program induction brings its own methodological risks. A short candidate may hide an expensive computation, while a longer one may run efficiently. Description length can favor reusable abstractions over exceptions, but its judgment depends on the chosen language and cannot certify truth. Rewriting equivalent expressions is useful only under justified rules, especially when operations have effects or arithmetic is bounded. Most importantly, the incident that suggested the program cannot also be its main evidence of generalization. Development and final evaluation require a genuine separation.
3|403,404,405,407,408,409,415,416,417,419,420,421|Memory policy shapes what future learning remains possible. Episodes record what was observed, representations record its transformations, and the library records how results were produced. A change of representation may be impossible to apply retrospectively when necessary source detail is gone. Provenance can identify shared sources behind apparently independent confirmations and preserve earlier configurations for reproduction. It does not make the original claims true. Retiring rarely used procedures must also be evaluated against forgetting important capabilities, rather than justified solely by current popularity.
